"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Damion Ratley","DET","1.0","11.6","0.0","0.0","0.0","0.0","0.0","1.2"
"Malik Turner","DAL","0.9","10.6","0.0","0.0","0.0","0.0","0.0","1.1"
"Kelvin Harmon","WAS","0.8","10.6","0.0","0.0","0.0","0.0","0.0","1.1"
"DeAndre Carter","WAS","0.9","10.4","0.0","0.0","0.0","0.0","0.0","1.0"
"Vyncint Smith","NYJ","0.9","10.1","0.0","0.0","0.0","0.0","0.0","1.0"
"John Hightower","PHI","0.7","9.8","0.0","0.0","0.0","0.0","0.0","1.0"
"Gehrig Dieter","KC","0.9","9.7","0.0","0.0","0.0","0.0","0.0","1.0"
"Isaiah Wright","WAS","0.9","9.6","0.0","0.0","0.0","0.0","0.0","1.0"
"Jason Moore","LAC","0.8","9.5","0.0","0.0","0.0","0.0","0.0","1.0"
"Nsimba Webster","SF","0.9","9.5","0.0","0.0","0.0","0.0","0.0","1.0"
"Darrius Shepherd","KC","0.9","9.5","0.0","0.0","0.0","0.0","0.0","0.9"
"Josh Malone","NYJ","0.9","9.4","0.0","0.0","0.0","0.0","0.0","0.9"
"Jake Lampman","NO","0.7","9.4","0.0","0.0","0.0","0.0","0.0","0.9"
"Jeff Badet","ATL","0.9","9.3","0.0","0.0","0.0","0.0","0.0","0.9"
"Chris Rowland","ATL","0.9","9.3","0.0","0.0","0.0","0.0","0.0","0.9"
"Keelan Doss","LV","0.8","9.3","0.0","0.0","0.0","0.0","0.0","0.9"
"Chad Hansen","DET","0.9","9.2","0.0","0.0","0.0","0.0","0.0","0.9"
"Trenton Irwin","CIN","0.8","9.2","0.0","0.0","0.0","0.0","0.0","0.9"
"Tanner Gentry","BUF","0.8","9.2","0.0","0.0","0.0","0.0","0.0","0.9"
"Marcell Ateman","LV","0.7","9.1","0.0","0.0","0.0","0.0","0.0","0.9"
"Lawrence Cager","NYJ","0.8","9.0","0.0","0.0","0.0","0.0","0.0","0.9"
"Cyril Grayson Jr.","TB","0.9","9.0","0.0","0.0","0.0","0.0","0.0","0.9"
"John Ursua","SEA","0.8","9.0","0.0","0.0","0.0","0.0","0.0","0.9"
"Stanley Morgan Jr.","CIN","0.8","9.0","0.0","0.0","0.0","0.0","0.0","0.9"
"Marvin Hall","NE","0.7","9.0","0.0","0.0","0.0","0.0","0.0","0.9"
"Darvin Kidsy","SEA","0.8","9.0","0.0","0.0","0.0","0.0","0.0","0.9"
"Chad Williams","KC","0.8","8.8","0.0","0.0","0.0","0.0","0.0","0.9"
"KhaDarel Hodge","CLE","0.7","8.8","0.0","0.0","0.0","0.0","0.0","0.9"
"Robert Foster","MIA","0.7","8.7","0.0","0.0","0.0","0.0","0.0","0.9"
"Dan Chisena","MIN","0.7","8.7","0.0","0.0","0.0","0.0","0.0","0.9"
"K.J. Osborn","MIN","0.7","8.7","0.0","0.0","0.0","0.0","0.0","0.9"
"Derrick Willies","CLE","0.7","8.6","0.0","0.0","0.0","0.0","0.0","0.9"
"Alexander Hollins","CLE","0.7","8.6","0.0","0.0","0.0","0.0","0.0","0.9"
"River Cracraft","SF","0.7","8.5","0.0","0.0","0.0","0.0","0.0","0.8"
"Ja'Marcus Bradley","CLE","0.7","8.4","0.0","0.0","0.0","0.0","0.0","0.8"
"Dante Pettis","NYG","0.7","8.4","0.0","0.0","0.0","0.0","0.0","0.8"
"JoJo Natson","CLE","0.7","8.4","0.0","0.0","0.0","0.0","0.0","0.8"
"Laquon Treadwell","JAC","0.8","8.4","0.0","0.0","0.0","0.0","0.0","0.8"
"Kevin White","SF","0.7","8.2","0.0","0.0","0.0","0.0","0.0","0.8"
"Ashton Dulin","IND","0.7","8.1","0.0","0.0","0.0","0.0","0.0","0.8"
"Mack Hollins","MIA","0.8","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Fred Brown","TEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Tyrie Cleveland","DEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Cody Hollister","TEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Justin Hardy","CHI","0.7","7.9","0.0","0.0","0.0","0.0","0.0","0.8"
"Jordan Matthews","SF","0.7","7.9","0.0","0.0","0.0","0.0","0.0","0.8"
"Keith Kirkwood","CAR","0.7","7.6","0.0","0.0","0.0","0.0","0.0","0.8"
"Ryan Switzer","CLE","0.8","7.1","0.0","0.0","0.0","0.0","0.0","0.7"
""
""
