,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
141,Trenton Cannon,CAR,RB,4.2,16.9,0.1,2.5,18.0,0.1,0.0,0.0,0.0,0,0.0,0.0
142,Alex Collins,SEA,RB,4.8,20.3,0.2,1.4,10.7,0.1,0.1,0.0,0.0,0,0.0,0.0
143,Derek Watt,PIT,RB,4.2,17.9,0.1,1.7,12.2,0.1,0.0,0.0,0.0,0,0.0,0.0
144,Ben Mason,BAL,RB,0.0,0.0,0.0,3.4,27.7,0.2,0.0,0.0,0.0,0,0.0,0.0
145,Darwin Thompson,KC,RB,3.9,16.5,0.2,1.7,12.4,0.1,0.0,0.0,0.0,0,0.0,0.0
146,Dwayne Washington,NO,RB,4.7,20.0,0.1,1.5,11.6,0.0,0.0,0.0,0.0,0,0.0,0.0
147,Michael Burton,KC,RB,3.3,13.9,0.1,1.9,14.9,0.1,0.0,0.0,0.0,0,0.0,0.0
148,J.J. Taylor,NE,RB,2.8,12.1,0.1,2.3,17.8,0.1,0.0,0.0,0.0,0,0.0,0.0
149,Corey Clement,NYG,RB,4.2,17.7,0.2,0.5,3.6,0.0,0.0,0.0,0.0,0,0.0,0.0
150,Dexter Williams,GB,RB,4.3,18.5,0.1,0.4,3.1,0.0,0.0,0.0,0.0,0,0.0,0.0
151,Devine Ozigbo,JAC,RB,2.8,12.2,0.1,1.5,11.6,0.0,0.0,0.0,0.0,0,0.0,0.0
152,Elijhaa Penny,NYG,RB,2.5,10.3,0.1,1.5,10.9,0.0,0.0,0.0,0.0,0,0.0,0.0
153,Khari Blasingame,TEN,RB,0.5,2.1,0.0,2.3,19.3,0.1,0.0,0.0,0.0,0,0.0,0.0
154,Jakob Johnson,NE,RB,0.0,0.0,0.0,2.3,19.0,0.1,0.0,0.0,0.0,0,0.0,0.0
155,Dare Ogunbowale,JAC,RB,2.1,8.8,0.0,1.4,9.4,0.0,0.0,0.0,0.0,0,0.0,0.0
156,Jonathan Williams,WAS,RB,2.3,9.8,0.0,0.9,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0
157,Patrick Laird,MIA,RB,1.5,6.4,0.0,0.9,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0
158,Taiwan Jones,BUF,RB,1.1,4.7,0.0,0.9,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0
159,Elijah McGuire,KC,RB,0.9,3.5,0.0,0.9,7.2,0.0,0.0,0.0,0.0,0,0.0,0.0
160,C.J. Prosise,TB,RB,0.9,3.6,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0
161,Ryan Nall,CHI,RB,0.9,3.9,0.0,0.9,6.2,0.0,0.0,0.0,0.0,0,0.0,0.0
